Player,Age,Pos,GP,G,A,S,PS,BLK,-9999
Byron Froese,32,C,16,0,1,17,-0.3,8,froesby01
Adin Hill,27,G,35,0,1,0,6.2,0,hillad01
Tobias Björnfot,22,D,2,0,0,0,-0.1,4,bjornto01
Grigori Denisenko,23,LW,6,0,0,5,-0.2,2,denisgr01
Daniil Miromanov,26,D,4,0,0,6,-0.1,5,miromda01
Jiří Patera,24,G,6,0,0,0,0.9,0,paterji01
Jared McCann,27,C,80,29,33,216,6.6,27,mccanja01
Oliver Bjorkstrand,28,RW,82,20,39,186,5.1,29,bjorkol01
Vince Dunn,27,D,59,11,35,120,7.9,64,dunnvi02
Jordan Eberle,33,RW,78,17,27,168,4.1,23,eberljo01
Eeli Tolvanen,24,RW,81,16,25,153,3.3,75,tolvaee01
Matthew Beniers,21,C,77,15,22,133,2.8,44,beniema01
Yanni Gourde,32,C,80,11,22,156,2.0,52,gourdya01
Jaden Schwartz,31,C,62,13,17,117,2.2,27,schwaja01
Justin Schultz,33,D,70,7,19,100,3.1,68,schulju01
Alexander Wennberg,29,C,60,9,16,80,1.8,65,wennbal01
William Borgen,27,D,82,3,22,97,4.3,111,borgewi01
Tye Kartye,22,F,77,11,9,109,1.7,27,kartyty01
Adam Larsson,31,D,81,4,14,130,5.1,151,larssad01
Kailer Yamamoto,25,RW,59,8,8,61,1.0,18,yamamka01
André Burakovsky,28,LW,49,7,9,92,0.7,14,burakan01
Brandon Tanev,32,LW,66,7,9,73,1.0,62,tanevbr01
Brian Dumoulin,32,D,80,6,10,69,4.2,79,dumoubr01
Tomáš Tatar,33,LW,43,8,7,53,1.8,14,tatarto01
Jamie Oleksiak,31,D,82,2,13,108,3.7,177,oleksja01
Ryker Evans,22,D,36,1,8,44,1.6,38,evansry01
Pierre-Édouard Bellemare,38,LW,40,4,3,36,0.7,22,bellepi01
Shane Wright,20,C,8,4,1,12,0.8,6,wrighsh01
Devin Shore,29,C,21,1,3,15,0.4,9,shorede01
Philipp Grubauer,32,G,36,0,1,0,5.0,0,grubaph01
Joey Daccord,27,G,50,0,0,0,9.6,0,daccojo01
Chris Driedger,29,G,2,0,0,0,0.4,0,driedch01
Cale Fleury,25,D,1,0,0,1,0.1,0,fleurca01
John Hayden,28,C,2,0,0,1,-0.1,1,haydejo01
Kole Lind,25,RW,1,0,0,0,0.0,0,lindko01
Max McCormick,31,LW,1,0,0,0,0.0,0,mccorma01
Logan Morrison,21,F,4,0,0,6,-0.1,8,morrilo01
Gustav Olofsson,29,D,1,0,0,0,0.0,3,olofsgu01
Andrew Poturalski,30,C,2,0,0,0,-0.1,0,poturan01
Marián Studenič,25,RW,2,0,0,1,-0.1,0,studema01
Ryan Winterton,20,C,9,0,0,10,-0.1,4,wintery01
Nazem Kadri,33,C,82,29,46,277,7.6,24,kadrina01
Yegor Sharangovich,25,C,82,31,28,179,5.3,44,sharaye01
Blake Coleman,32,C,78,30,24,191,6.6,57,colembl01
MacKenzie Weegar,30,D,82,20,32,208,8.6,200,weegama01
Jonathan Huberdeau,30,LW,81,12,40,143,2.8,37,huberjo01
Andrew Mangiapane,27,LW,75,14,26,122,3.5,33,mangian01
Mikael Backlund,34,C,82,15,24,209,2.5,33,backlmi01
Rasmus Andersson,27,D,78,9,30,159,5.3,186,anderra01
Noah Hanifin,27,D,61,11,24,123,6.5,89,hanifno01
Connor Zary,22,C,63,14,20,90,3.5,29,zaryco01
Elias Lindholm,29,C,49,9,23,131,2.0,40,lindhel01
Andrei Kuzmenko,27,F,29,14,11,58,2.7,7,kuzmean01
Martin Pospisil,24,C,63,8,16,117,2.3,22,pospima01
Chris Tanev,34,D,56,1,13,43,3.5,171,tanevch01
